pair,doc_mix,ndcg_0,ndcg_10,ndcg_30,ndcg_50,ndcg_70,ndcg_90,ndcg_100,fit_rows,predicted_alpha
FR-DE,FR + DE docs,33.674133,34.264244,34.785717,34.66806,34.05614,33.001205,32.427464,4373,30
FR-DE,FR docs,33.376606,33.879986,34.320908,33.91996,31.76207,28.352713,26.74034,4373,30
FR-HI,FR + HI docs,33.402187,33.822655,34.35278,34.2216,32.9879,31.451971,30.672232,4373,30
FR-HI,FR docs,33.376606,33.701942,33.98648,32.980953,29.145763,23.429955,20.387922,4373,30
FR-HI,HI docs,20.990826,23.389093,28.090696,31.429707,32.010124,31.021938,30.363998,4373,70
FR-ID,FR + ID docs,33.621105,34.051403,34.598984,34.175762,33.50637,32.309517,31.602518,4373,30
FR-ID,FR docs,33.376606,33.71531,34.1567,33.70962,31.23044,27.587624,26.021446,4373,30
FR-ID,ID docs,26.122967,27.605145,30.085018,32.10735,32.57713,31.816624,31.23286,4373,70
FR-IT,FR + IT docs,33.860165,34.09246,34.49623,34.669697,34.472607,33.734974,33.194393,4373,50
FR-IT,FR docs,33.376606,33.62876,33.911354,33.789215,32.322224,29.774185,28.560005,4373,30
FR-IT,IT docs,28.595993,29.821459,32.134224,33.621517,33.77592,33.216408,32.74416,4373,70
FR-JA,FR + JA docs,33.39923,33.748375,34.16056,33.789112,32.749126,31.706234,31.117096,4373,30
FR-JA,FR docs,33.376606,33.65786,34.043278,33.01841,29.04869,23.218536,20.10623,4373,30
FR-JA,JA docs,19.69315,22.163912,27.355722,30.94991,31.706398,31.124071,30.724192,4373,70
FR-NL,FR + NL docs,33.877995,34.257767,34.664604,34.56117,34.235035,33.861015,33.409546,4373,30
FR-NL,FR docs,33.376606,33.753105,34.200603,33.964104,31.715666,28.605398,27.23943,4373,30
FR-NL,NL docs,27.451584,28.684452,31.533014,33.43266,33.726723,33.478058,33.03506,4373,70
FR-PT,FR + PT docs,33.806778,34.23074,34.949127,35.259293,34.91054,33.70885,33.19346,4373,50
FR-PT,FR docs,33.376606,33.670387,34.219494,34.23167,32.443592,29.810846,28.56187,4373,50
FR-PT,PT docs,28.61758,29.963139,32.44743,34.018066,34.175552,33.259254,32.86123,4373,70
FR-RU,FR + RU docs,33.740196,34.179394,34.546944,34.127853,32.90762,31.469103,30.893587,4373,30
FR-RU,FR docs,33.376606,33.871983,34.135418,33.364975,30.341112,25.811882,23.931581,4373,30
FR-RU,RU docs,24.650293,26.419523,29.547848,31.72685,31.720089,30.782347,30.337633,4373,50
FR-VI,FR + VI docs,33.561592,33.854836,34.105255,32.82904,30.92077,29.389343,28.649792,4373,30
FR-VI,FR docs,33.376606,33.645924,34.01787,32.727013,28.675556,23.360151,21.146832,4373,30
FR-VI,VI docs,23.5276,24.950577,28.428688,30.353418,30.080616,28.900383,28.347124,4373,50
FR-ZH,FR + ZH docs,33.56345,33.89273,33.9174,32.259388,31.104397,29.838463,29.159534,4373,30
FR-ZH,FR docs,33.376606,33.691177,33.86551,32.39748,28.01329,21.501331,18.49976,4373,30
FR-ZH,ZH docs,19.870182,21.967607,26.931425,30.003862,30.479576,29.554104,28.94577,4373,70
