pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
EN-AR,EN docs,embed,100.0,18.7391,31.7922,0.8253,17.3808,20.0975,17.1203,20.358,15.3475,30.4807,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-064650-agg.csv
EN-DE,DE docs,embed,0.0,26.7312,35.8391,0.9303,25.2,28.2624,24.9063,28.5561,22.3866,41.9587,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-063425-agg.csv
EN-DE,DE docs,embed,10.0,27.7306,36.2317,0.9405,26.1827,29.2786,25.8857,29.5756,23.2174,43.3738,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-063444-agg.csv
EN-DE,DE docs,embed,30.0,29.3298,36.8474,0.9565,27.7555,30.9041,27.4535,31.206,24.7424,45.2942,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-063501-agg.csv
EN-DE,DE docs,embed,50.0,29.6791,36.9581,0.9594,28.1001,31.2582,27.7973,31.561,24.9943,45.7098,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-063549-agg.csv
EN-DE,DE docs,embed,70.0,29.5937,36.921,0.9584,28.0163,31.1712,27.7137,31.4737,24.8929,45.8614,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-063608-agg.csv
EN-DE,DE docs,embed,90.0,28.5834,36.7272,0.9534,27.0142,30.1526,26.7133,30.4535,24.095,44.0083,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-063625-agg.csv
EN-DE,DE docs,embed,100.0,27.8804,36.3545,0.9437,26.3271,29.4336,26.0292,29.7315,23.4003,43.1323,bge-m3,mmarco-8841823-german-en-de-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-063640-agg.csv
EN-DE,EN + DE docs,embed,0.0,33.8012,37.37,0.9701,32.2045,35.3978,31.8983,35.704,28.4144,52.2406,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-060800-agg.csv
EN-DE,EN + DE docs,embed,10.0,33.8361,37.1962,0.9656,32.2469,35.4253,31.942,35.7301,28.3102,52.6786,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-060824-agg.csv
EN-DE,EN + DE docs,embed,30.0,33.8583,37.2092,0.9659,32.2685,35.4481,31.9636,35.753,28.3125,52.847,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-060848-agg.csv
EN-DE,EN + DE docs,embed,50.0,32.806,37.0181,0.9609,31.2244,34.3876,30.9211,34.691,27.4751,51.2635,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-060909-agg.csv
EN-DE,EN + DE docs,embed,70.0,31.2474,36.9743,0.9598,29.6677,32.8271,29.3647,33.1301,26.1247,48.8488,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-060929-agg.csv
EN-DE,EN + DE docs,embed,90.0,29.66,36.686,0.9523,28.0926,31.2274,27.792,31.528,24.8684,45.9625,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-060953-agg.csv
EN-DE,EN + DE docs,embed,100.0,28.8798,36.3702,0.9441,27.3259,30.4337,27.0279,30.7318,24.1111,44.9517,bge-m3,mmarco-8841823-bilingual-en-de-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-061013-agg.csv
EN-DE,EN docs,embed,0.0,33.6276,37.3817,0.9704,32.0305,35.2247,31.7241,35.5311,28.2139,51.9036,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-064510-agg.csv
EN-DE,EN docs,embed,10.0,33.5602,37.0535,0.9619,31.9771,35.1433,31.6734,35.4469,28.0219,52.409,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-064524-agg.csv
EN-DE,EN docs,embed,30.0,33.5484,37.0055,0.9606,31.9673,35.1294,31.6641,35.4327,28.0359,52.5438,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-064539-agg.csv
EN-DE,EN docs,embed,50.0,32.6954,36.8117,0.9556,31.1226,34.2681,30.8209,34.5698,27.1863,51.4656,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-064554-agg.csv
EN-DE,EN docs,embed,70.0,30.5236,36.4751,0.9468,28.9652,32.082,28.6663,32.3809,25.2879,48.1974,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-064613-agg.csv
EN-DE,EN docs,embed,90.0,27.23,35.8462,0.9305,25.6985,28.7616,25.4048,29.0553,22.5737,42.7504,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-064627-agg.csv
EN-DE,EN docs,embed,100.0,25.3493,35.1525,0.9125,23.8474,26.8512,23.5593,27.1392,21.0804,39.8192,bge-m3,mmarco-8841823-english-en-de-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-064642-agg.csv
EN-ES,EN + ES docs,embed,0.0,33.7696,37.2849,0.9679,32.1766,35.3626,31.871,35.6681,28.3057,52.4427,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-060807-agg.csv
EN-ES,EN + ES docs,embed,10.0,33.7378,37.1082,0.9633,32.1524,35.3233,31.8483,35.6274,28.1605,52.7796,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-060829-agg.csv
EN-ES,EN + ES docs,embed,30.0,33.3535,36.7977,0.9552,31.7813,34.9257,31.4798,35.2273,27.8315,52.308,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-060850-agg.csv
EN-ES,EN + ES docs,embed,50.0,32.694,36.8742,0.9572,31.1185,34.2694,30.8163,34.5716,27.2975,51.1961,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-060912-agg.csv
EN-ES,EN + ES docs,embed,70.0,31.8902,36.7902,0.955,30.3183,33.462,30.0168,33.7635,26.6487,49.8147,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-060933-agg.csv
EN-ES,EN + ES docs,embed,90.0,30.7887,36.8764,0.9573,29.2132,32.3643,28.911,32.6665,25.892,47.7426,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-060953-agg.csv
EN-ES,EN + ES docs,embed,100.0,30.4308,36.9592,0.9594,28.8517,32.0098,28.5488,32.3127,25.6416,47.0294,bge-m3,mmarco-8841823-bilingual-en-es-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-061013-agg.csv
EN-ES,EN docs,embed,0.0,33.6276,37.3817,0.9704,32.0305,35.2247,31.7241,35.5311,28.2139,51.9036,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-064520-agg.csv
EN-ES,EN docs,embed,10.0,33.5329,37.184,0.9652,31.9442,35.1216,31.6395,35.4263,28.0607,52.1058,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-064536-agg.csv
EN-ES,EN docs,embed,30.0,33.2516,37.0089,0.9607,31.6704,34.8328,31.3672,35.1361,27.9042,51.7352,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-064552-agg.csv
EN-ES,EN docs,embed,50.0,32.6723,36.9771,0.9599,31.0925,34.2522,30.7895,34.5552,27.2817,51.095,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-064608-agg.csv
EN-ES,EN docs,embed,70.0,30.4888,36.4881,0.9472,28.9299,32.0478,28.6308,32.3468,25.4888,47.9279,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-064622-agg.csv
EN-ES,EN docs,embed,90.0,27.6266,35.9889,0.9342,26.089,29.1642,25.7941,29.4591,23.1164,43.3288,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-064640-agg.csv
EN-ES,EN docs,embed,100.0,26.1394,35.5803,0.9236,24.6192,27.6595,24.3276,27.9511,21.9294,40.7682,bge-m3,mmarco-8841823-english-en-es-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-064655-agg.csv
EN-ES,ES docs,embed,0.0,28.649,36.0217,0.9351,27.11,30.188,26.8148,30.4832,23.6045,45.6424,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-063429-agg.csv
EN-ES,ES docs,embed,10.0,29.478,36.2305,0.9405,27.9301,31.0259,27.6332,31.3228,24.2338,46.6869,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-063444-agg.csv
EN-ES,ES docs,embed,30.0,30.8439,36.4927,0.9473,29.2848,32.4031,28.9857,32.7021,25.4646,48.7309,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-063502-agg.csv
EN-ES,ES docs,embed,50.0,31.7315,36.7061,0.9528,30.1633,33.2998,29.8625,33.6006,26.3024,50.0112,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-063548-agg.csv
EN-ES,ES docs,embed,70.0,31.369,36.949,0.9591,29.7904,32.9477,29.4876,33.2505,26.2572,48.7983,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-063607-agg.csv
EN-ES,ES docs,embed,90.0,30.4633,37.1611,0.9647,28.8756,32.051,28.5711,32.3555,25.7758,46.7767,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-063624-agg.csv
EN-ES,ES docs,embed,100.0,30.0736,37.1655,0.9648,28.4857,31.6615,28.1812,31.9661,25.4248,46.1197,bge-m3,mmarco-8841823-spanish-en-es-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-063639-agg.csv
EN-FR,EN + FR docs,embed,0.0,33.7332,37.2401,0.9667,32.1421,35.3243,31.8369,35.6295,28.2394,52.4764,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-201926-agg.csv
EN-FR,EN + FR docs,embed,10.0,33.5842,37.1884,0.9654,31.9954,35.1731,31.6906,35.4779,28.1458,52.1395,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-202000-agg.csv
EN-FR,EN + FR docs,embed,30.0,33.6117,37.2035,0.9658,32.0222,35.2013,31.7174,35.5061,28.1556,52.1732,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-202033-agg.csv
EN-FR,EN + FR docs,embed,50.0,32.6438,37.0325,0.9613,31.0616,34.2261,30.7582,34.5295,27.2264,50.8929,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-202107-agg.csv
EN-FR,EN + FR docs,embed,70.0,32.3692,36.9092,0.9581,30.7923,33.9462,30.4898,34.2486,26.8859,50.9153,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-202142-agg.csv
EN-FR,EN + FR docs,embed,90.0,31.5998,36.9152,0.9583,30.0226,33.177,29.7201,33.4795,26.3955,49.4104,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-202216-agg.csv
EN-FR,EN + FR docs,embed,100.0,30.7354,36.7411,0.9538,29.1656,32.3052,28.8645,32.6062,25.6638,48.1301,bge-m3,mmarco-8841823-bilingual-en-fr-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-202236-agg.csv
EN-FR,EN docs,embed,0.0,33.6479,37.276,0.9676,32.0552,35.2405,31.7498,35.5459,28.2051,52.2069,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-232232-agg.csv
EN-FR,EN docs,embed,10.0,33.5211,37.2454,0.9668,31.9298,35.1124,31.6246,35.4176,28.1822,51.8026,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-232255-agg.csv
EN-FR,EN docs,embed,30.0,33.5939,37.049,0.9617,32.011,35.1768,31.7073,35.4804,28.0843,52.308,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-232316-agg.csv
EN-FR,EN docs,embed,50.0,32.9533,36.9175,0.9583,31.376,34.5306,31.0735,34.8331,27.3884,51.4319,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-232340-agg.csv
EN-FR,EN docs,embed,70.0,31.2121,36.5712,0.9493,29.6496,32.7746,29.3499,33.0743,25.9157,49.0735,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-232357-agg.csv
EN-FR,EN docs,embed,90.0,28.1648,35.6647,0.9258,26.641,29.6885,26.3487,29.9808,23.2896,44.7945,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-232422-agg.csv
EN-FR,EN docs,embed,100.0,26.5643,35.1807,0.9132,25.0612,28.0673,24.7729,28.3556,21.9697,42.3349,bge-m3,mmarco-8841823-english-en-fr-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-232446-agg.csv
EN-FR,FR docs,embed,0.0,28.0672,36.0899,0.9368,26.5253,29.6092,26.2295,29.9049,23.3167,44.0364,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251219-003630-agg.csv
EN-FR,FR docs,embed,10.0,29.0782,36.5423,0.9486,27.517,30.6395,27.2175,30.939,24.3178,45.1146,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251219-003644-agg.csv
EN-FR,FR docs,embed,30.0,30.4384,36.8693,0.9571,28.8631,32.0136,28.561,32.3157,25.5733,47.1193,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251219-003657-agg.csv
EN-FR,FR docs,embed,50.0,31.417,36.8928,0.9577,29.8408,32.9933,29.5385,33.2956,26.2788,49.0959,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251219-003711-agg.csv
EN-FR,FR docs,embed,70.0,31.4395,37.2635,0.9673,29.8474,33.0315,29.542,33.3369,26.4825,48.5568,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251219-003725-agg.csv
EN-FR,FR docs,embed,90.0,30.8874,37.1322,0.9639,29.3009,32.4739,28.9967,32.7782,26.0558,47.7594,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251219-003738-agg.csv
EN-FR,FR docs,embed,100.0,30.154,37.0087,0.9607,28.5728,31.7352,28.2695,32.0384,25.4334,46.6139,bge-m3,mmarco-8841823-french-en-fr-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251219-003751-agg.csv
EN-HI,EN + HI docs,embed,0.0,33.5526,37.2524,0.967,31.961,35.1442,31.6558,35.4495,28.1655,51.971,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-061834-agg.csv
EN-HI,EN + HI docs,embed,10.0,33.6153,37.0732,0.9624,32.0314,35.1993,31.7276,35.5031,28.0498,52.5101,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-061855-agg.csv
EN-HI,EN + HI docs,embed,30.0,33.2788,36.7314,0.9535,31.7094,34.8481,31.4084,35.1492,27.6792,52.308,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-061915-agg.csv
EN-HI,EN + HI docs,embed,50.0,31.651,36.5803,0.9496,30.0881,33.2139,29.7883,33.5137,26.2913,49.8596,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-061937-agg.csv
EN-HI,EN + HI docs,embed,70.0,30.168,36.8857,0.9575,28.5921,31.7439,28.2898,32.0462,25.3002,46.788,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-061956-agg.csv
EN-HI,EN + HI docs,embed,90.0,27.8766,36.1733,0.939,26.3311,29.4221,26.0346,29.7185,23.3115,43.4748,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-062019-agg.csv
EN-HI,EN + HI docs,embed,100.0,27.2443,36.0789,0.9366,25.7029,28.7858,25.4072,29.0815,22.7724,42.5314,bge-m3,mmarco-8841823-bilingual-en-hi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-062040-agg.csv
EN-HI,EN docs,embed,0.0,33.6276,37.3817,0.9704,32.0305,35.2247,31.7241,35.5311,28.2139,51.9036,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-065025-agg.csv
EN-HI,EN docs,embed,10.0,33.6635,37.1176,0.9635,32.0777,35.2494,31.7735,35.5535,28.0305,52.5438,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-065041-agg.csv
EN-HI,EN docs,embed,30.0,33.3826,36.7935,0.9551,31.8106,34.9546,31.5091,35.2561,27.7639,52.409,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-065059-agg.csv
EN-HI,EN docs,embed,50.0,32.1461,36.4041,0.945,30.5907,33.7015,30.2924,33.9998,26.4996,51.2073,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-065114-agg.csv
EN-HI,EN docs,embed,70.0,29.5627,35.9781,0.9339,28.0256,31.0999,27.7307,31.3947,24.2629,47.4843,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-065130-agg.csv
EN-HI,EN docs,embed,90.0,24.8805,34.5904,0.8979,23.4027,26.3584,23.1192,26.6419,20.4286,39.8023,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-065147-agg.csv
EN-HI,EN docs,embed,100.0,22.4401,33.4286,0.8678,21.0119,23.8684,20.7379,24.1423,18.2162,36.5678,bge-m3,mmarco-8841823-english-en-hi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-065203-agg.csv
EN-HI,HI docs,embed,0.0,24.2271,35.0426,0.9097,22.73,25.7243,22.4428,26.0115,20.1596,38.2019,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-070108-agg.csv
EN-HI,HI docs,embed,10.0,25.9304,35.6772,0.9261,24.4061,27.4547,24.1137,27.7471,21.6837,40.6952,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-070123-agg.csv
EN-HI,HI docs,embed,30.0,27.8425,36.2354,0.9406,26.2944,29.3907,25.9974,29.6876,23.2593,43.5591,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-070138-agg.csv
EN-HI,HI docs,embed,50.0,28.8023,36.38,0.9444,27.248,30.3567,26.9499,30.6548,23.9407,45.3111,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-070153-agg.csv
EN-HI,HI docs,embed,70.0,28.5581,36.5683,0.9493,26.9957,30.1205,26.696,30.4201,23.8492,44.553,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-070209-agg.csv
EN-HI,HI docs,embed,90.0,27.4096,36.312,0.9426,25.8582,28.9611,25.5607,29.2586,22.9598,42.5651,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-070227-agg.csv
EN-HI,HI docs,embed,100.0,26.8289,36.1907,0.9395,25.2827,28.3752,24.9861,28.6717,22.4281,41.487,bge-m3,mmarco-8841823-hindi-en-hi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-070242-agg.csv
EN-ID,EN + ID docs,embed,0.0,33.6075,37.3367,0.9692,32.0123,35.2027,31.7063,35.5087,28.2511,51.9373,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-061313-agg.csv
EN-ID,EN + ID docs,embed,10.0,33.5773,37.2069,0.9658,31.9876,35.1669,31.6827,35.4718,28.1528,52.0721,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-061337-agg.csv
EN-ID,EN + ID docs,embed,30.0,33.1844,36.696,0.9526,31.6166,34.7522,31.3158,35.0529,27.6313,52.1732,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-061356-agg.csv
EN-ID,EN + ID docs,embed,50.0,32.2016,36.6239,0.9507,30.6369,33.7664,30.3368,34.0665,26.8113,50.5335,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-061414-agg.csv
EN-ID,EN + ID docs,embed,70.0,31.1917,36.5556,0.9489,29.6298,32.7535,29.3303,33.0531,25.9914,48.8264,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-061434-agg.csv
EN-ID,EN + ID docs,embed,90.0,29.6544,36.096,0.937,28.1122,31.1966,27.8164,31.4924,24.664,46.7037,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-061456-agg.csv
EN-ID,EN + ID docs,embed,100.0,29.0682,36.0076,0.9347,27.5298,30.6066,27.2347,30.9017,24.1799,45.7603,bge-m3,mmarco-8841823-bilingual-en-id-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-061515-agg.csv
EN-ID,EN docs,embed,0.0,33.6276,37.3817,0.9704,32.0305,35.2247,31.7241,35.5311,28.2139,51.9036,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-065030-agg.csv
EN-ID,EN docs,embed,10.0,33.5369,37.2307,0.9665,31.9462,35.1276,31.6411,35.4327,28.0462,51.971,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-065045-agg.csv
EN-ID,EN docs,embed,30.0,33.2278,36.837,0.9562,31.6539,34.8017,31.3521,35.1035,27.7291,51.971,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-065101-agg.csv
EN-ID,EN docs,embed,50.0,32.4202,36.7838,0.9549,30.8487,33.9918,30.5472,34.2933,27.0279,50.6907,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-065117-agg.csv
EN-ID,EN docs,embed,70.0,31.1477,36.5896,0.9498,29.5844,32.711,29.2846,33.0108,25.8756,49.051,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-065132-agg.csv
EN-ID,EN docs,embed,90.0,27.9309,35.8674,0.9311,26.3985,29.4633,26.1045,29.7573,23.1917,44.0308,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-065147-agg.csv
EN-ID,EN docs,embed,100.0,26.5809,35.6077,0.9243,25.0595,28.1022,24.7677,28.394,22.1486,41.7284,bge-m3,mmarco-8841823-english-en-id-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-065202-agg.csv
EN-ID,ID docs,embed,0.0,26.4616,35.3497,0.9176,24.9512,27.9719,24.6616,28.2615,21.8893,42.2282,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-070117-agg.csv
EN-ID,ID docs,embed,10.0,27.0305,35.4143,0.9193,25.5174,28.5435,25.2272,28.8337,22.2844,43.1491,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-070131-agg.csv
EN-ID,ID docs,embed,30.0,28.6971,35.9748,0.9339,27.16,30.2341,26.8652,30.5289,23.8513,45.3616,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-070146-agg.csv
EN-ID,ID docs,embed,50.0,29.7272,36.6013,0.9501,28.1634,31.291,27.8635,31.5909,24.9313,46.0804,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-070203-agg.csv
EN-ID,ID docs,embed,70.0,29.5671,36.4443,0.946,28.01,31.1242,27.7113,31.4228,24.737,45.9625,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-070218-agg.csv
EN-ID,ID docs,embed,90.0,28.9236,36.0508,0.9358,27.3833,30.4638,27.0879,30.7593,24.0936,45.4234,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-070233-agg.csv
EN-ID,ID docs,embed,100.0,28.404,35.8219,0.9299,26.8736,29.9345,26.58,30.2281,23.6378,44.7159,bge-m3,mmarco-8841823-indonesian-en-id-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-070247-agg.csv
EN-IT,EN + IT docs,embed,0.0,33.916,37.3712,0.9701,32.3194,35.5127,32.0131,35.819,28.4917,52.4764,bge-m3,mmarco-8841823-bilingual-en-it-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-204504-agg.csv
EN-IT,EN + IT docs,embed,10.0,33.7223,37.2676,0.9674,32.13,35.3145,31.8246,35.6199,28.2933,52.2406,bge-m3,mmarco-8841823-bilingual-en-it-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-204534-agg.csv
