pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-ZH,ZH docs,embed,100.0,26.0793,34.6892,0.9005,24.5972,27.5614,24.313,27.8457,21.3059,42.4921,bge-m3,mmarco-8841823-chinese-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-041246-agg.csv
DE-FR,DE + FR docs,embed,0.0,28.6945,36.6314,0.9509,27.1295,30.2596,26.8293,30.5598,24.0919,44.2779,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-004446-agg.csv
DE-FR,DE + FR docs,embed,10.0,29.3913,36.8661,0.957,27.8162,30.9664,27.5141,31.2686,24.7446,45.3223,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-004503-agg.csv
DE-FR,DE + FR docs,embed,30.0,29.8057,36.5598,0.949,28.2436,31.3677,27.944,31.6673,24.8705,46.7262,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-004519-agg.csv
DE-FR,DE + FR docs,embed,50.0,30.4434,36.8103,0.9555,28.8706,32.0161,28.569,32.3177,25.4975,47.4225,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-004536-agg.csv
DE-FR,DE + FR docs,embed,70.0,30.8763,36.95,0.9592,29.2976,32.455,28.9949,32.7578,25.9018,48.0627,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-004553-agg.csv
DE-FR,DE + FR docs,embed,90.0,30.6398,36.9291,0.9586,29.062,32.2176,28.7594,32.5203,25.7347,47.6584,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-004611-agg.csv
DE-FR,DE + FR docs,embed,100.0,30.1938,36.8842,0.9575,28.6179,31.7697,28.3157,32.0719,25.4213,46.816,bge-m3,mmarco-8841823-bilingual-de-fr-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-004628-agg.csv
DE-FR,DE docs,embed,0.0,27.8804,36.3545,0.9437,26.3271,29.4336,26.0292,29.7315,23.4003,43.1323,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-205153-agg.csv
DE-FR,DE docs,embed,10.0,28.2398,36.581,0.9496,26.6769,29.8027,26.3771,30.1025,23.7145,43.5366,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-205215-agg.csv
DE-FR,DE docs,embed,30.0,28.553,36.3581,0.9438,26.9996,30.1064,26.7017,30.4044,23.829,44.7327,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-205237-agg.csv
DE-FR,DE docs,embed,50.0,28.3173,36.1699,0.9389,26.7719,29.8626,26.4755,30.159,23.6252,44.6148,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-205258-agg.csv
DE-FR,DE docs,embed,70.0,26.9265,35.6608,0.9257,25.4029,28.4501,25.1107,28.7423,22.3339,42.7729,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-205321-agg.csv
DE-FR,DE docs,embed,90.0,24.5406,34.7639,0.9024,23.0553,26.0259,22.7704,26.3107,20.3288,39.2127,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-205344-agg.csv
DE-FR,DE docs,embed,100.0,23.1689,34.2042,0.8879,21.7075,24.6303,21.4272,24.9106,19.0832,37.0901,bge-m3,mmarco-8841823-german-de-fr-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-205405-agg.csv
DE-FR,FR docs,embed,0.0,23.8878,34.6541,0.8996,22.4072,25.3684,22.1232,25.6524,19.7998,37.7695,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-212918-agg.csv
DE-FR,FR docs,embed,10.0,25.3331,34.959,0.9075,23.8395,26.8268,23.553,27.1132,20.8812,40.3527,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-212937-agg.csv
DE-FR,FR docs,embed,30.0,28.4842,36.0006,0.9345,26.946,30.0223,26.651,30.3173,23.6665,44.8731,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-212957-agg.csv
DE-FR,FR docs,embed,50.0,30.3907,36.8502,0.9566,28.8163,31.9652,28.5143,32.2671,25.4934,47.2877,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-213016-agg.csv
DE-FR,FR docs,embed,70.0,30.6441,36.9126,0.9582,29.067,32.2212,28.7645,32.5237,25.63,47.692,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-213039-agg.csv
DE-FR,FR docs,embed,90.0,30.4274,37.0216,0.961,28.8457,32.0092,28.5423,32.3126,25.5981,47.0856,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-213056-agg.csv
DE-FR,FR docs,embed,100.0,30.1557,37.0087,0.9607,28.5746,31.7369,28.2713,32.0402,25.3927,46.6139,bge-m3,mmarco-8841823-french-de-fr-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-213117-agg.csv
DE-IT,DE + IT docs,embed,0.0,28.2473,36.4179,0.9454,26.6913,29.8032,26.3929,30.1016,23.6504,43.7388,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-015515-agg.csv
DE-IT,DE + IT docs,embed,10.0,28.7163,36.6838,0.9523,27.149,30.2836,26.8484,30.5842,24.1473,44.2442,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-015531-agg.csv
DE-IT,DE + IT docs,embed,30.0,29.6315,36.956,0.9593,28.0525,31.2104,27.7497,31.5133,24.8634,45.9737,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-015549-agg.csv
DE-IT,DE + IT docs,embed,50.0,30.0246,36.9715,0.9597,28.445,31.6042,28.142,31.9072,25.1745,46.6139,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-015605-agg.csv
DE-IT,DE + IT docs,embed,70.0,30.5307,36.9608,0.9595,28.9515,32.1098,28.6486,32.4127,25.5907,47.4899,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-015622-agg.csv
DE-IT,DE + IT docs,embed,90.0,29.5945,36.6321,0.9509,28.0294,31.1596,27.7292,31.4598,24.7384,46.0748,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-015638-agg.csv
DE-IT,DE + IT docs,embed,100.0,28.9546,36.3703,0.9441,27.4007,30.5085,27.1027,30.8066,24.1006,45.3785,bge-m3,mmarco-8841823-bilingual-de-it-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-015655-agg.csv
DE-IT,DE docs,embed,0.0,27.8804,36.3545,0.9437,26.3271,29.4336,26.0292,29.7315,23.4003,43.1323,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-222824-agg.csv
DE-IT,DE docs,embed,10.0,28.2135,36.5718,0.9494,26.651,29.776,26.3513,30.0757,23.7087,43.5029,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-222846-agg.csv
DE-IT,DE docs,embed,30.0,28.8215,36.6674,0.9518,27.2549,30.3881,26.9544,30.6886,24.2094,44.7327,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-222908-agg.csv
DE-IT,DE docs,embed,50.0,28.3632,36.4733,0.9468,26.8049,29.9215,26.506,30.2204,23.7568,44.2442,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-222930-agg.csv
DE-IT,DE docs,embed,70.0,26.6317,35.6311,0.9249,25.1094,28.154,24.8174,28.446,22.1693,42.1215,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-222950-agg.csv
DE-IT,DE docs,embed,90.0,24.0585,34.9272,0.9067,22.5662,25.5508,22.28,25.837,20.113,37.7415,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-223012-agg.csv
DE-IT,DE docs,embed,100.0,22.5921,34.2649,0.8895,21.1282,24.0561,20.8474,24.3369,18.8308,35.5234,bge-m3,mmarco-8841823-german-de-it-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-223036-agg.csv
DE-IT,IT docs,embed,0.0,23.0015,34.643,0.8993,21.5214,24.4816,21.2375,24.7655,19.2189,35.7817,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-224712-agg.csv
DE-IT,IT docs,embed,10.0,24.7144,35.4142,0.9193,23.2014,26.2275,22.9112,26.5177,20.7121,38.3929,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-224735-agg.csv
DE-IT,IT docs,embed,30.0,27.8091,36.3594,0.9438,26.2557,29.3626,25.9577,29.6605,23.2344,43.166,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-224757-agg.csv
DE-IT,IT docs,embed,50.0,29.5358,36.5507,0.9488,27.9742,31.0974,27.6747,31.397,24.6139,46.2657,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-224818-agg.csv
